"","topic","gamma","id"
"430",4,0.38751,3383
"431",11,0.78023,3392
"432",11,0.82045,3418
"433",10,0.93322,3423
"434",2,0.62179,3425
"435",12,0.66029,3434
"436",7,0.98235,3440
"437",7,0.42813,3444
"438",7,0.43615,3469
"439",4,0.90579,3473
"440",3,0.52517,3476
"441",9,0.80489,3481
"442",8,0.83195,3483
"443",11,0.50948,3485
"444",7,0.64254,3488
"445",3,0.41945,3490
"446",4,0.96017,3501
"447",9,0.70681,3503
"448",12,0.9137,3510
"449",3,0.85824,3515
"450",4,0.71638,3521
"451",12,0.50393,3529
"452",11,0.8616,3532
"453",5,0.90139,3534
"454",9,0.76785,3538
"455",9,0.4702,3544
"456",2,0.44815,3548
"457",3,0.43686,3560
"458",4,0.87792,3567
"459",11,0.43743,3586
"460",3,0.83831,3591
"461",3,0.38806,3594
"462",5,0.60292,3596
"463",2,0.49587,3604
"464",3,0.61044,3606
"465",4,0.93957,3613
"466",10,0.97719,3614
"467",10,0.82534,3615
"468",9,0.82838,3617
"469",4,0.99779,3624
"470",9,0.50919,3628
"471",3,0.99858,3631
"472",7,0.99928,3632
"473",7,0.99726,3638
"474",7,0.58699,3641
"475",11,0.93905,3646
"476",2,0.69835,3651
"477",11,0.59582,3656
"478",10,0.93139,3668
"479",4,0.99875,3674
"480",12,0.83464,3691
"481",12,0.4384,3713
"482",7,0.58353,3731
"483",5,0.90186,3738
"484",5,0.99775,3740
"485",11,0.65065,3752
"486",10,0.90803,3754
"487",3,0.88402,3767
"488",2,0.62053,3769
"489",1,0.67321,3782
"490",6,0.79784,3783
"491",4,0.83075,3791
"492",8,0.80195,3803
"493",4,0.56278,3806
"494",12,0.3788,3808
"495",12,0.55124,3809
"496",3,0.35762,3814
"497",6,0.97513,3815
"498",12,0.56672,3840
"499",1,0.65029,3850
"500",2,0.92776,3871
"501",12,0.57534,3874
"502",2,0.87203,3876
"503",12,0.99897,3886
"504",3,0.99537,3897
"505",12,0.87714,3904
"506",10,0.45972,3912
"507",1,0.99887,3916
"508",8,0.59344,3930
"509",11,0.59394,3939
"510",4,0.86716,3941
"511",12,0.88104,3954
"512",8,0.95547,3962
"513",12,0.67297,3968
"514",4,0.59384,3988
"515",3,0.8865,3995
"516",9,0.492,3999
"517",6,0.99809,4012
"518",6,0.99616,4016
"519",10,0.9991,4022
"520",11,0.99842,4029
"521",1,0.98849,4031
"522",6,0.9965,4033
"523",5,0.64881,4036
"524",6,0.74831,4046
"525",2,0.99948,4047
"526",2,0.48772,4048
"527",4,0.79913,4049
"528",7,0.6807,4052
"529",6,0.99883,4054
"530",6,0.47885,4068
"531",4,0.77846,4074
"532",3,0.95481,4075
"533",11,0.83548,4085
"534",11,0.40097,4093
"535",12,0.7983,4094
"536",8,0.55599,4096
"537",12,0.84386,4098
"538",7,0.96894,4099
"539",8,0.97427,4107
"540",6,0.9962,4114
"541",5,0.9962,4125
"542",12,0.97226,4138
"543",10,0.74509,4139
"544",10,0.8859,4143
"545",11,0.78449,4159
"546",9,0.61047,4164
"547",12,0.99761,4166
"548",3,0.68791,4167
"549",12,0.78137,4175
"550",11,0.56591,4176
"551",11,0.99713,4184
"552",4,0.99823,4185
"553",3,0.66476,4194
"554",2,0.97107,4199
"555",12,0.44438,4208
"556",6,0.52272,4210
"557",11,0.6915,4212
"558",12,0.75448,4218
"559",8,0.69325,4236
"560",11,0.75285,4271
"561",4,0.68722,4279
"562",4,0.99784,4297
"563",10,0.51902,4298
"564",5,0.77891,4300
"565",12,0.93887,4302
"566",8,0.98239,4325
"567",1,0.77935,4326
"568",10,0.62351,4329
"569",7,0.97323,4334
"570",11,0.43842,4336
"571",6,0.46984,4342
"572",11,0.58314,4346
"573",3,0.97645,4360
"574",12,0.46375,4363
"575",12,0.99787,4378
"576",7,0.72006,4409
"577",8,0.98716,4412
"578",4,0.88083,4416
"579",11,0.68914,4417
"580",6,0.99778,4418
"581",3,0.81781,4425
"582",12,0.99828,4438
"583",3,0.52004,4455
"584",7,0.8037,4465
"585",9,0.4102,4481
"586",11,0.73266,4499
"587",2,0.54502,4501
"588",7,0.46295,4503
"589",9,0.70319,4509
"590",9,0.53129,4510
"591",11,0.53909,4516
"592",3,0.36855,4522
"593",12,0.94532,4524
"594",4,0.99591,4535
"595",4,0.99811,4536
"596",7,0.90576,4538
"597",4,0.99889,4545
"598",6,0.75474,4565
"599",6,0.60846,4591
"600",4,0.88013,4594
"601",4,0.52132,4604
"602",6,0.99476,4627
"603",12,0.99516,4628
"604",4,0.8634,4645
"605",1,0.84671,4672
"606",3,0.34897,4674
"607",4,0.3601,4687
"608",3,0.86604,4691
"609",1,0.57896,4704
"610",6,0.36473,4706
"611",2,0.81845,4712
"612",12,0.95898,4721
"613",3,0.68644,4723
"614",2,0.53206,4724
"615",11,0.94861,4735
"616",10,0.52609,4737
"617",9,0.60212,4739
"618",9,0.53882,4748
"619",9,0.67699,4761
"620",2,0.66502,4772
"621",11,0.39802,4777
"622",11,0.73375,4779
"623",9,0.48827,4784
"624",4,0.58079,4785
"625",2,0.65503,4795
"626",4,0.40182,4799
"627",4,0.81911,4801
"628",4,0.77709,4803
"629",4,0.88042,4806
"630",11,0.75215,4810
"631",1,0.85738,4817
"632",4,0.5263,4828
"633",3,0.39657,4843
"634",8,0.99902,4846
"635",2,0.64979,4849
"636",8,0.98122,4850
"637",6,0.99661,4851
"638",12,0.93318,4890
"639",3,0.64845,4893
"640",8,0.99372,4896
"641",8,0.99606,4902
"642",7,0.50384,4909
"643",6,0.9426,4910
"644",10,0.91258,4915
"645",11,0.45833,4919
"646",8,0.99711,4921
"647",3,0.61779,4926
"648",3,0.5179,4927
"649",4,0.81381,4938
"650",8,0.80675,4950
"651",6,0.81336,4954
"652",8,0.99611,4958
"653",3,0.52842,4961
"654",4,0.97558,4962
"655",5,0.56972,4964
"656",4,0.83024,4967
"657",12,0.98766,4969
"658",8,0.85583,4974
"659",4,0.67738,4994
"660",10,0.45936,4995
"661",10,0.55638,5016
"662",3,0.35989,5018
"663",8,0.99852,5037
"664",6,0.99484,5050
"665",12,0.99675,5051
"666",11,0.99915,5066
"667",7,0.62248,5092
"668",9,0.99697,5114
"669",4,0.79181,5116
"670",8,0.99601,5119
"671",8,0.68739,5120
"672",1,0.44994,5122
"673",9,0.99458,5124
"674",7,0.88978,5130
"675",2,0.57959,5138
"676",2,0.42566,5143
"677",12,0.3983,5149
"678",5,0.5493,5157
"679",6,0.78049,5159
"680",9,0.6186,5165
"681",6,0.55619,5179
"682",1,0.57686,5189
"683",6,0.99823,5191
"684",10,0.852,5200
"685",5,0.53642,5201
"686",10,0.64596,5202
"687",9,0.99733,5213
"688",9,0.42818,5215
"689",9,0.60363,5225
"690",12,0.8932,5244
"691",3,0.5998,5246
"692",4,0.67159,5254
"693",4,0.85859,5255
"694",4,0.6844,5259
"695",2,0.70484,5262
"696",7,0.93927,5265
"697",5,0.57186,5267
"698",6,0.65719,5272
"699",6,0.4187,5273
"700",8,0.24542,5274
"701",4,0.79154,5288
"702",9,0.58396,5293
"703",4,0.86733,5294
"704",11,0.9983,5301
"705",4,0.68083,5306
"706",2,0.86499,5326
"707",2,0.62105,5329
"708",12,0.65663,5331
"709",2,0.47204,5332
"710",10,0.32039,5339
"711",9,0.99287,5342
"712",8,0.998,5348
"713",9,0.46713,5351
"714",12,0.88739,5376
"715",11,0.99844,5381
"716",3,0.57665,5383
"717",2,0.56876,5407
"718",10,0.55574,5409
"719",7,0.91195,5411
"720",10,0.48213,5423
"721",8,0.99625,5438
"722",5,0.99927,5441
"723",12,0.99816,5453
"724",8,0.78736,5459
"725",12,0.86976,5471
"726",6,0.72495,5473
"727",6,0.98053,5478
"728",4,0.74512,5484
"729",6,0.88976,5485
